PDF_URL,TITLE,YEAR
https://assets.scriptslug.com/live/pdf/scripts/addams-family-values-1993.pdf,addams family values ,1993
https://assets.scriptslug.com/live/pdf/scripts/after-the-wedding-2019.pdf,after the wedding ,2019
https://assets.scriptslug.com/live/pdf/scripts/aftersun-2022.pdf,aftersun ,2022
https://assets.scriptslug.com/live/pdf/scripts/air-2023.pdf,air ,2023
https://assets.scriptslug.com/live/pdf/scripts/air-force-one-1997.pdf,air force one ,1997
https://assets.scriptslug.com/live/pdf/scripts/airplane-1980.pdf,airplane ,1980
https://assets.scriptslug.com/live/pdf/scripts/airplane-ii-the-sequel-1982.pdf,airplane ii the sequel ,1982
https://assets.scriptslug.com/live/pdf/scripts/aladdin-1992.pdf,aladdin ,1992
https://assets.scriptslug.com/live/pdf/scripts/alex-cross-2012.pdf,alex cross ,2012
https://assets.scriptslug.com/live/pdf/scripts/ali-2001.pdf,ali ,2001
https://assets.scriptslug.com/live/pdf/scripts/alien-1979.pdf,alien ,1979
https://assets.scriptslug.com/live/pdf/scripts/alien-3-1992.pdf,alien 3 ,1992
https://assets.scriptslug.com/live/pdf/scripts/alien-covenant-2017.pdf,alien covenant ,2017
https://assets.scriptslug.com/live/pdf/scripts/alien-resurrection-1997.pdf,alien resurrection ,1997
https://assets.scriptslug.com/live/pdf/scripts/alien-vs-predator-requiem-2007.pdf,alien vs predator requiem ,2007
https://assets.scriptslug.com/live/pdf/scripts/aliens-1985.pdf,aliens ,1985
https://assets.scriptslug.com/live/pdf/scripts/aligarh-2015.pdf,aligarh ,2015
https://assets.scriptslug.com/live/pdf/scripts/all-about-eve-1950.pdf,all about eve ,1950
https://assets.scriptslug.com/live/pdf/scripts/all-is-lost-2013.pdf,all is lost ,2013
https://assets.scriptslug.com/live/pdf/scripts/all-is-true-2018.pdf,all is true ,2018
https://assets.scriptslug.com/live/pdf/scripts/all-of-us-strangers-2023.pdf,all of us strangers ,2023
https://assets.scriptslug.com/live/pdf/scripts/all-quiet-on-the-western-front-2022.pdf,all quiet on the western front ,2022
https://assets.scriptslug.com/live/pdf/scripts/all-the-boy-love-mandy-lane-2006.pdf,all the boy love mandy lane ,2006
https://assets.scriptslug.com/live/pdf/scripts/all-the-money-in-the-world-2017.pdf,all the money in the world ,2017
https://assets.scriptslug.com/live/pdf/scripts/all-the-old-knives-2022.pdf,all the old knives ,2022
https://assets.scriptslug.com/live/pdf/scripts/all-the-presidents-men-1976.pdf,all the presidents men ,1976
https://assets.scriptslug.com/live/pdf/scripts/almost-famous-2000.pdf,almost famous ,2000
https://assets.scriptslug.com/live/pdf/scripts/altered-states-1980.pdf,altered states ,1980
https://assets.scriptslug.com/live/pdf/scripts/amadeus-1984.pdf,amadeus ,1984
https://assets.scriptslug.com/live/pdf/scripts/ambulance-2022.pdf,ambulance ,2022
https://assets.scriptslug.com/live/pdf/scripts/amelie-2001.pdf,amelie ,2001
https://assets.scriptslug.com/live/pdf/scripts/american-animals-2018.pdf,american animals ,2018
https://assets.scriptslug.com/live/pdf/scripts/american-beauty-1999.pdf,american beauty ,1999
https://assets.scriptslug.com/live/pdf/scripts/american-fiction-2023.pdf,american fiction ,2023
https://assets.scriptslug.com/live/pdf/scripts/american-graffiti-1973.pdf,american graffiti ,1973
https://assets.scriptslug.com/live/pdf/scripts/american-hustle-2013.pdf,american hustle ,2013
https://assets.scriptslug.com/live/pdf/scripts/american-pie-1999.pdf,american pie ,1999
https://assets.scriptslug.com/live/pdf/scripts/american-psycho-2000.pdf,american psycho ,2000
https://assets.scriptslug.com/live/pdf/scripts/american-sniper-2014.pdf,american sniper ,2014
https://assets.scriptslug.com/live/pdf/scripts/american-ultra-2015.pdf,american ultra ,2015
https://assets.scriptslug.com/live/pdf/scripts/amistad-1997.pdf,amistad ,1997
https://assets.scriptslug.com/live/pdf/scripts/amour-2012.pdf,amour ,2012
